Id,FromAddress,ToAddress,Speed,Type,PermitDirection
12602,10001,10002,0,Horizontal,Forward
10101,10002,10003,0,Horizontal,Forward
10201,10003,10004,0,Horizontal,Forward
10202,10004,10005,0,Horizontal,Forward
10203,10005,10006,0,Horizontal,Forward
10301,10006,10007,0,Horizontal,Forward
10302,10007,10008,0,Horizontal,Forward
10401,10008,10009,0,Horizontal,Forward
10402,10009,10010,0,Horizontal,Forward
10501,10010,10011,0,Horizontal,Forward
10502,10011,10012,0,Horizontal,Forward
10601,10012,10014,0,Horizontal,Forward
10602,10014,10015,0,Horizontal,Forward
10701,10015,10016,0,Horizontal,Forward
10702,10016,10017,0,Horizontal,Forward
10801,10017,10018,0,Horizontal,Forward
10802,10018,10019,0,Horizontal,Forward
10901,10019,10021,0,Horizontal,Forward
11001,10021,10022,0,Horizontal,Forward
11002,10022,10023,0,Horizontal,Forward
11003,10250,10023,0,Horizontal,Forward
12801,10002,10056,0,Vertical,Forward
11201,10251,10024,0,Horizontal,Forward
11202,10251,10272,0,Horizontal,Forward
11301,10272,10025,0,Horizontal,Forward
11302,10025,10026,0,Horizontal,Forward
11303,10026,10027,0,Horizontal,Forward
11304,10027,10028,0,Horizontal,Forward
11305,10028,10029,0,Horizontal,Forward
11401,10029,10030,0,Horizontal,Forward
11402,10030,10031,0,Horizontal,Forward
11403,10031,10032,0,Horizontal,Forward
11501,10032,10033,0,Horizontal,Forward
11502,10033,10034,0,Horizontal,Forward
11503,10034,10035,0,Horizontal,Forward
11601,10035,10036,0,Horizontal,Forward
11602,10036,10037,0,Horizontal,Forward
11603,10037,10038,0,Horizontal,Forward
11701,10038,10039,0,Horizontal,Forward
11702,10039,10040,0,Horizontal,Forward
11703,10040,10041,0,Horizontal,Forward
11801,10041,10042,0,Horizontal,Forward
11802,10042,10043,0,Horizontal,Forward
11803,10043,10044,0,Horizontal,Forward
11804,10044,10045,0,Horizontal,Forward
11805,10045,10046,0,Horizontal,Forward
11901,10046,10047,0,Horizontal,Forward
12001,10047,10048,0,Horizontal,Forward
12002,10048,10049,0,Horizontal,Forward
12003,10049,10050,0,Horizontal,Forward
12004,10050,10051,0,Horizontal,Forward
12005,10051,10052,0,Horizontal,Forward
12101,10052,10053,0,Horizontal,Forward
12102,10053,10054,0,Horizontal,Forward
12103,10054,10055,0,Horizontal,Forward
12104,10055,10056,0,Horizontal,Forward
12201,10056,10057,0,Horizontal,Forward
12901,10003,10052,0,Vertical,Forward
13001,10006,10047,0,Vertical,Forward
13101,10008,10046,0,Vertical,Forward
13201,10010,10041,0,Vertical,Forward
13301,10012,10038,0,Vertical,Forward
13401,10015,10035,0,Vertical,Forward
13501,10017,10032,0,Vertical,Forward
13601,10019,10029,0,Vertical,Forward
13701,10021,10272,0,Vertical,Forward
